GVKEY,DATADATE,POINTDATE,qtrsback,conm,datacqtr,ACTQh,ACTQh_dc,AOQh,AOQh_dc,APQh,APQh_dc,ATQh,ATQh_dc,CEQQh,CEQQh_dc,CHEQh,CHEQh_dc,DLTTQh,DLTTQh_dc,DOQh,DOQh_dc,DVPQh,DVPQh_dc,DVQh,DVQh_dc,IBADJQh,IBADJQh_dc,IBCOMQh,IBCOMQh_dc,IBQh,IBQh_dc,ICAPTQh,ICAPTQh_dc,LCOQh,LCOQh_dc,LCTQh,LCTQh_dc,LOQh,LOQh_dc,LTQh,LTQh_dc,NIQh,NIQh_dc,NOPIQh,NOPIQh_dc,PIQh,PIQh_dc,PPENTQh,PPENTQh_dc,PSTKQh,PSTKQh_dc,PSTKRQh,PSTKRQh_dc,SALEQh,SALEQh_dc,SEQQh,SEQQh_dc,TEQQh,TEQQh_dc,TXTQh,TXTQh_dc,XIDOQh,XIDOQh_dc
004058,20180331,20180430,0,DOVER CORP,Q1Y18,2951.999,,6560.396,,997.704,,10543.04,,4445.622,,367.222,,3032.003,,0,,0,,72.691,,131.435,,131.435,,131.435,,7477.625,,631.678,,2080.588,,546.811,,6097.418,,131.435,,1.772,,160.757,,1030.645,,0,,0,,1921.579,,4445.622,,4445.622,,29.322,,0,
004066,20180331,20180430,0,OMNICOM GROUP,Q1Y18,12338.5,,10482.9,,10159.2,,23513.1,,2626.4,,2570,,4885,,0,,0,,138.9,,264.1,,264.1,,264.1,,8277.1,,3071.3,,13598.8,,1182.8,,20121,,264.1,,16.2,,375.6,,691.7,,0,,0,,3629.6,,2626.4,,3216.8,,90.9,,0,
004072,20180131,20180331,0,ASCENA RETAIL GROUP INC,Q4Y17,1186.1,,1265.9,,380.3,,3771,,799.5,,413.5,,1477.6,,0,,0,,0,,-39.3,,-39.3,,-39.3,,2277.1,,496.8,,921.1,,520.3,,2971.5,,-39.3,,1.6,,-61.2,,1319,,0,,0,,1719,,799.5,,799.5,,-21.9,,0,
004072,20180131,20180430,0,ASCENA RETAIL GROUP INC,Q4Y17,1186.1,,1265.9,,380.3,,3771,,799.5,,413.5,,1477.6,,0,,0,,0,,-39.3,,-39.3,,-39.3,,2277.1,,496.8,,921.1,,520.3,,2971.5,,-39.3,,1.6,,-61.2,,1319,,0,,0,,1719,,799.5,,799.5,,-21.9,,0,
004115,20180131,20180331,0,DYCOM INDUSTRIES INC,Q4Y17,904.786,,521.402,,92.361,,1840.956,,724.996,,84.029,,733.843,,0,,0,,0,,40.059,,40.059,,40.059,,1458.839,,140.027,,259.612,,65.077,,1115.96,,40.059,,0.294,,2.171,,414.768,,0,,0,,655.133,,724.996,,724.996,,-37.888,,0,
004115,20180131,20180430,0,DYCOM INDUSTRIES INC,Q4Y17,904.786,,521.402,,92.361,,1840.956,,724.996,,84.029,,733.843,,0,,0,,0,,40.059,,40.059,,40.059,,1458.839,,140.027,,259.612,,65.077,,1115.96,,40.059,,0.294,,2.171,,414.768,,0,,0,,655.133,,724.996,,724.996,,-37.888,,0,
004201,20180131,20180331,0,EATON VANCE CORP,Q4Y17,,,1595.07,,73.671,,2397.009,,1099.253,,533.77,,619.052,,0,,0,,37.499,,78.056,,78.056,,78.056,,2023.655,,123.427,,,,139.722,,992.406,,78.056,,13.829,,137.128,,49.692,,0,,0,,421.412,,1099.253,,1100.154,,48.617,,0,
004201,20180131,20180430,0,EATON VANCE CORP,Q4Y17,,,1595.07,,73.671,,2397.009,,1099.253,,533.77,,619.052,,0,,0,,37.499,,78.056,,78.056,,78.056,,2023.655,,123.427,,,,139.722,,992.406,,78.056,,13.829,,137.128,,49.692,,0,,0,,421.412,,1099.253,,1100.154,,48.617,,0,
004418,20180131,20180430,0,ENZO BIOCHEM INC,Q4Y17,89.539,,10.841,,9.564,,108.325,,87.959,,64.468,,0.495,,0,,0,,0,,-0.901,,-0.901,,-0.901,,88.454,,10.074,,19.871,,0,,20.366,,-0.901,,1.018,,-1.998,,7.945,,0,,0,,26.952,,87.959,,87.959,,-1.097,,0,
004423,20180331,20180430,0,EQUIFAX INC,Q1Y18,917.4,,5687.8,,106.7,,7196.1,,3274.7,,271.1,,1739.6,,0,,0,,46.9,,90.9,,90.9,,90.9,,5076.5,,543.7,,1538.9,,275.8,,3859.2,,90.9,,2.9,,123.2,,590.9,,0,,0,,865.7,,3274.7,,3336.9,,29.4,,0,
004498,20180331,20180430,0,INSTEEL INDUSTRIES,Q1Y18,141.146,,28.217,,32.561,,272.64,,218.045,,23.464,,0,,0,,0,,20.184,,5.879,,5.879,,5.879,,218.045,,5.497,,38.058,,10.704,,54.595,,5.879,,-0.113,,7.805,,103.277,,0,,0,,107.417,,218.045,,218.045,,1.926,,0,
004517,20180331,20180430,0,NEXTERA ENERGY INC,Q1Y18,5612,,21476,,1748,,94284,,32706,,550,,28062,,0,,0,,523,,4428,,4428,,4428,,64055,,3694,,9579,,13643,,58291,,4428,,324,,5080,,67196,,0,,0,,3863,,32706,,35993,,1249,,0,
004598,20180228,20180331,0,FEDEX CORP,Q1Y18,13575,,10579,,3102,,51851,,18894,,2789,,16017,,0,,0,,402,,2072,,2074,,2074,,34911,,4838,,9503,,5036,,32957,,2074,,25,,874,,27697,,0,,0,,16526,,18894,,18894,,-1200,,0,
004598,20180228,20180430,0,FEDEX CORP,Q1Y18,13575,,10579,,3102,,51851,,18894,,2789,,16017,,0,,0,,402,,2072,,2074,,2074,,34911,,4838,,9503,,5036,,32957,,2074,,25,,874,,27697,,0,,0,,16526,,18894,,18894,,-1200,,0,
004611,20180131,20180430,0,MACY'S INC,Q4Y17,7444,,5265,,2325,,19381,,5673,,1492,,5861,,0,,0,,461,,1325,,1325,,1325,,11522,,2432,,5075,,1662,,13720,,1325,,372,,1151,,6672,,0,,0,,8666,,5673,,5661,,-169,,0,
004798,20180331,20180430,0,FLORIDA POWER & LIGHT CO,Q1Y18,2632,,8496,,782,,50895,,18367,,26,,11803,,0,,0,,0,,484,,484,,484,,30170,,1894,,4330,,11318,,32528,,484,,22,,596,,39767,,0,,0,,2620,,18367,,18367,,112,,0,
004839,20180331,20180430,0,FORD MOTOR CO,Q1Y18,123264,,79517,,25480,,267230,,36400,,40071,,105351,,0,,0,,1113,,1736,,1736,,1736,,141885,,21415,,99878,,24845,,230696,,1736,,1087,,1919,,64449,,0,,0,,41959,,36400,,36436,,174,,0,
004885,20180331,20180430,0,FRANKLIN RESOURCES INC,Q1Y18,,,4133.5,,262.5,,17690,,10058.4,,8726.5,,1078.8,,0,,0,,239,,427.9,,443.2,,443.2,,13565.4,,2366.1,,,,1366.1,,5203.4,,443.2,,87.4,,633.1,,517.7,,0,,0,,1617.8,,10058.4,,10402.2,,150.2,,0,
004900,20180131,20180430,0,FREQUENCY ELECTRONICS INC,Q4Y17,62.81,,27.663,,2.858,,104.341,,78.651,,13.224,,0,,-0.289,,0,,0,,-10.107,,-10.107,,-10.107,,78.651,,6.055,,8.913,,16.777,,25.69,,-10.396,,0.07,,-7.259,,13.868,,0,,0,,10.572,,78.651,,78.651,,2.848,,-0.289,
004926,20180228,20180430,0,FULLER (H. B.) CO,Q1Y18,1117.481,,2581.196,,257.417,,4374.053,,1120.023,,132.478,,2328.819,,0,,0,,7.642,,47.682,,47.682,,47.682,,3449.207,,137.724,,522.827,,402.019,,3253.665,,47.682,,4.333,,15.035,,675.376,,0,,0,,713.079,,1120.023,,1120.388,,-32.632,,0,
004990,20180131,20180331,0,GAP INC,Q4Y17,4568,,616,,1181,,7989,,3144,,1783,,1249,,0,,0,,361,,205,,205,,205,,4393,,1270,,2461,,1135,,4845,,205,,8,,383,,2805,,0,,0,,4778,,3144,,3144,,178,,0,
004990,20180131,20180430,0,GAP INC,Q4Y17,4568,,616,,1181,,7989,,3144,,1783,,1249,,0,,0,,361,,205,,205,,205,,4393,,1270,,2461,,1135,,4845,,205,,8,,383,,2805,,0,,0,,4778,,3144,,3144,,178,,0,
005046,20180331,20180430,0,GENERAL DYNAMICS CORP,Q1Y18,20464,,13222,,2851,,37219,,11774,,4332,,3981,,0,,0,,250,,799,,799,,799,,15755,,9893,,15242,,5973,,25445,,799,,-21,,960,,3533,,0,,0,,7535,,11774,,11774,,161,,0,
005071,20180228,20180331,0,GENERAL MILLS INC,Q1Y18,4277.1,,14337.3,,2505.7,,22240.6,,4965.6,,953.1,,7163.6,,0,,0,,846.5,,941.4,,941.4,,941.4,,13315.8,,1242.6,,6209.6,,1481.3,,16088.4,,941.4,,16.6,,520,,3626.2,,0,,0,,3882.3,,4965.6,,5334.7,,-432.5,,0,
005071,20180228,20180430,0,GENERAL MILLS INC,Q1Y18,4277.1,,14337.3,,2505.7,,22240.6,,4965.6,,953.1,,7163.6,,0,,0,,846.5,,941.4,,941.4,,941.4,,13315.8,,1242.6,,6209.6,,1481.3,,16088.4,,941.4,,16.6,,520,,3626.2,,0,,0,,3882.3,,4965.6,,5334.7,,-432.5,,0,
005073,20180331,20180430,0,GENERAL MOTORS CO,Q1Y18,71435,,66526,,26039,,218726,,34298,,24079,,69471,,-70,,0,,566,,1102,,1116,,1116,,104929,,27330,,82716,,31081,,183268,,1046,,1197,,1576,,80765,,0,,0,,36099,,34298,,35458,,466,,-70,
005109,20180131,20180430,0,GENESCO INC,Q4Y17,693.088,,239.636,,140.962,,1315.353,,828.122,,39.937,,86.619,,-0.209,,0,,0,,56.254,,56.254,,56.254,,917.323,,110.852,,255.068,,142.962,,484.649,,56.045,,0.008,,53.837,,382.629,,1.052,,0,,930.383,,829.174,,830.704,,-2.417,,-0.209,
005125,20180331,20180430,0,GENUINE PARTS CO,Q1Y18,7581.612,,4246.494,,3773.149,,12759.394,,3510.079,,325.973,,2564.111,,0,,0,,99,,176.576,,176.576,,176.576,,6125.492,,1204.565,,5757.472,,692.047,,9198.013,,176.576,,12.456,,229.319,,931.288,,0,,0,,4586.294,,3510.079,,3561.381,,52.743,,0,
005234,20180331,20180430,0,GOODYEAR TIRE & RUBBER CO,Q1Y18,6488,,3590,,2850,,17580,,4737,,888,,5600,,0,,0,,34,,75,,75,,75,,10562,,1432,,4941,,1976,,12618,,75,,-16,,113,,7502,,0,,0,,3830,,4737,,4962,,33,,0,
005252,20180331,20180430,0,GRACO INC,Q1Y18,716.234,,567.621,,60.096,,1491.531,,727.179,,123.032,,285.195,,0,,0,,22.445,,85.51,,85.51,,85.51,,1012.374,,179.023,,280.63,,180.83,,764.352,,85.51,,-1.035,,107.428,,207.676,,0,,0,,406.348,,727.179,,727.179,,21.918,,0,
005256,20180331,20180430,0,GRAINGER (W W) INC,Q1Y18,3307.162,,1225.578,,748.372,,5902.811,,1770.598,,302.015,,2244.406,,0,,0,,72.254,,229.537,,231.535,,231.535,,4170.312,,535.264,,1504.332,,228.167,,3976.905,,231.535,,-3.171,,306.994,,1370.071,,0,,0,,2766.401,,1770.598,,1925.906,,66.209,,0,
005338,20180131,20180331,0,GREIF INC  -CL A,Q4Y17,1044,,1080.9,,378.4,,3328.1,,1087.5,,94.3,,1010.8,,0,,0,,24.5,,56.5,,56.5,,56.5,,2170.8,,231.9,,633.4,,355.6,,2168.1,,56.5,,-6,,44.5,,1203.2,,0,,0,,905.7,,1087.5,,1126.5,,-15.6,,0,
005338,20180131,20180430,0,GREIF INC  -CL A,Q4Y17,1044,,1080.9,,378.4,,3328.1,,1087.5,,94.3,,1010.8,,0,,0,,24.5,,56.5,,56.5,,56.5,,2170.8,,231.9,,633.4,,355.6,,2168.1,,56.5,,-6,,44.5,,1203.2,,0,,0,,905.7,,1087.5,,1126.5,,-15.6,,0,
005439,20180331,20180430,0,HALLIBURTON CO,Q1Y18,11035,,5560,,2830,,25191,,8365,,2332,,10428,,0,,0,,158,,46,,46,,46,,18819,,1673,,4969,,1403,,16800,,46,,-15,,189,,8596,,0,,0,,5740,,8365,,8391,,142,,0,
005567,20180131,20180331,0,HEICO CORP,Q4Y17,662.432,,1774.895,,81.129,,2570.442,,1239.412,,65.688,,668.527,,0,,0,,7.395,,65.152,,65.152,,65.152,,2130.896,,132.57,,229.056,,167.964,,1108.073,,65.152,,0.36,,75.195,,133.115,,0,,0,,404.41,,1239.412,,1330.014,,3.5,,0,
005567,20180131,20180430,0,HEICO CORP,Q4Y17,662.432,,1774.895,,81.129,,2570.442,,1239.412,,65.688,,668.527,,0,,0,,7.395,,65.152,,65.152,,65.152,,2130.896,,132.57,,229.056,,167.964,,1108.073,,65.152,,0.36,,75.195,,133.115,,0,,0,,404.41,,1239.412,,1330.014,,3.5,,0,
005597,20180331,20180430,0,HERSHEY CO,Q1Y18,2270.496,,2943.286,,519.988,,7332.798,,972.128,,476.434,,2059.934,,0,,0,,134.3,,350.203,,350.203,,350.203,,3049.589,,623.709,,3705.507,,435.186,,6343.143,,350.203,,1.572,,449.231,,2119.016,,0,,0,,1971.959,,972.128,,989.655,,98.512,,0,
005606,20180131,20180331,0,HP INC,Q4Y17,21217,,12002,,12848,,35245,,-2742,,6741,,6340,,0,,0,,230,,1938,,1938,,1938,,3598,,8759,,23349,,8198,,37987,,1938,,19,,905,,2026,,0,,0,,14517,,-2742,,-2742,,-1033,,0,
005606,20180131,20180430,0,HP INC,Q4Y17,21217,,12002,,12848,,35245,,-2742,,6741,,6340,,0,,0,,230,,1938,,1938,,1938,,3598,,8759,,23349,,8198,,37987,,1938,,19,,905,,2026,,0,,0,,14517,,-2742,,-2742,,-1033,,0,
005643,20180331,20180430,0,HILTON WORLDWIDE HOLDINGS,Q1Y18,2008,,11894,,1344,,14260,,1742,,683,,6558,,0,,0,,47,,161,,161,,161,,8305,,1034,,2488,,2566,,12513,,161,,19,,221,,358,,0,,0,,2074,,1742,,1747,,58,,0,
005680,20180131,20180331,0,HOME DEPOT INC,Q4Y17,18933,,3521,,7244,,44529,,1454,,3595,,24267,,0,,0,,4212,,1779,,1779,,1779,,25721,,6135,,16194,,2174,,43075,,1779,,23,,2943,,22075,,0,,0,,23883,,1454,,1454,,1164,,0,
005680,20180131,20180430,0,HOME DEPOT INC,Q4Y17,18933,,3521,,7244,,44529,,1454,,3595,,24267,,0,,0,,4212,,1779,,1779,,1779,,25721,,6135,,16194,,2174,,43075,,1779,,23,,2943,,22075,,0,,0,,23883,,1454,,1454,,1164,,0,
005709,20180131,20180331,0,HORMEL FOODS CORP,Q4Y17,1948.269,,4617.513,,532.847,,7858.848,,5151.331,,385.775,,624.726,,0,,0,,89.814,,303.107,,303.107,,303.107,,5780.1,,489.432,,1323.514,,640.546,,2703.474,,303.107,,26.837,,305.165,,1293.066,,0,,0,,2331.293,,5151.331,,5155.374,,1.954,,0,
005709,20180131,20180430,0,HORMEL FOODS CORP,Q4Y17,1948.269,,4617.513,,532.847,,7858.848,,5151.331,,385.775,,624.726,,0,,0,,89.814,,303.107,,303.107,,303.107,,5780.1,,489.432,,1323.514,,640.546,,2703.474,,303.107,,26.837,,305.165,,1293.066,,0,,0,,2331.293,,5151.331,,5155.374,,1.954,,0,
005750,20180131,20180331,0,HOVNANIAN ENTRPRS INC  -CL A,Q4Y17,,,148.18,,107.185,,1645.937,,-626.488,,301.388,,1729.814,,0,,0,,0,,-30.809,,-30.809,,-30.809,,1238.625,,36.224,,,,198.717,,2137.126,,-30.809,,-5.434,,-30.471,,19.505,,135.299,,0,,417.166,,-491.189,,-491.189,,0.338,,0,
005750,20180131,20180430,0,HOVNANIAN ENTRPRS INC  -CL A,Q4Y17,,,148.18,,107.185,,1645.937,,-626.488,,301.388,,1729.814,,0,,0,,0,,-30.809,,-30.809,,-30.809,,1238.625,,36.224,,,,198.717,,2137.126,,-30.809,,-5.434,,-30.471,,19.505,,135.299,,0,,417.166,,-491.189,,-491.189,,0.338,,0,
005763,20180131,20180331,0,URSTADT BIDDLE PROPERTIES,Q4Y17,,,966.092,,6.515,,995.572,,395.991,,6.907,,301.475,,0,,3.063,,13.471,,4.921,,4.921,,7.984,,967.465,,0,,,,21.592,,329.582,,7.984,,0,,9.079,,,4,190,,0,,33.635,,585.991,,585.991,,0,,0,
005763,20180131,20180430,0,URSTADT BIDDLE PROPERTIES,Q4Y17,,,966.092,,6.515,,995.572,,395.991,,6.907,,301.475,,0,,3.063,,13.471,,4.921,,4.921,,7.984,,967.465,,0,,,,21.592,,329.582,,7.984,,0,,9.079,,,4,190,,0,,33.635,,585.991,,585.991,,0,,0,
005783,20180331,20180430,0,HUNT (JB) TRANSPRT SVCS INC,Q1Y18,1236.064,,141.317,,503.829,,4421.657,,1943.063,,7.082,,752.423,,0,,0,,26.341,,118.142,,118.142,,118.142,,2695.486,,341.078,,1092.516,,88.373,,2478.594,,118.142,,0,,159.629,,3044.276,,0,,0,,1948.245,,1943.063,,1943.063,,41.487,,0,
005788,20180131,20180430,0,HURCO COMPANIES INC,Q4Y17,265.571,,22.502,,57.603,,300.793,,210.096,,80.236,,0,,0,,0,,0.668,,2.916,,2.937,,2.937,,210.096,,23.207,,82.4,,6.355,,90.697,,2.937,,0.302,,7.437,,12.72,,0,,0,,68.444,,210.096,,210.096,,4.5,,0,
005959,20180331,20180430,0,INGERSOLL-RAND PLC,Q1Y18,6071.5,,10682.3,,1666.1,,18365.1,,7080.7,,1175.1,,3745.5,,-9.4,,0,,111.6,,129.8,,129.8,,129.8,,10885.9,,2049.4,,4320.7,,3158.5,,11224.7,,120.4,,-0.1,,166.5,,1611.3,,0,,0,,3384.5,,7080.7,,7140.4,,33,,-9.4,
006008,20180331,20180430,0,INTEL CORP,Q1Y18,31630,,53231,,4415,,128596,,70165,,16197,,24770,,0,,0,,1400,,4454,,4454,,4454,,95736,,11704,,19961,,11335,,57630,,4454,,766,,5011,,43735,,801,,801,,16066,,70966,,70966,,557,,0,
006066,20180331,20180430,0,INTL BUSINESS MACHINES CORP,Q1Y18,49123,,64884,,5736,,125285,,18166,,13155,,40410,,4,,0,,1382,,1675,,1675,,1675,,58700,,21102,,35733,,30852,,106995,,1679,,-100,,1128,,11278,,0,,0,,19072,,18166,,18290,,-539,,4,
006081,20180131,20180331,0,NAVISTAR INTERNATIONAL CORP,Q4Y17,3958,,676,,1140,,5969,,-4589,,1011,,4168,,0,,0,,0,,-73,,-73,,-73,,-415,,1160,,3253,,3131,,10552,,-73,,-5,,-51,,1335,,2,,0,,1905,,-4587,,-4583,,15,,0,
006081,20180131,20180430,0,NAVISTAR INTERNATIONAL CORP,Q4Y17,3958,,676,,1140,,5969,,-4589,,1011,,4168,,0,,0,,0,,-73,,-73,,-73,,-415,,1160,,3253,,3131,,10552,,-73,,-5,,-51,,1335,,2,,0,,1905,,-4587,,-4583,,15,,0,
006116,20180228,20180430,0,INTL SPEEDWAY CORP  -CL A,Q1Y18,429.441,,408.071,,46.101,,2318.966,,1630.951,,283.726,,255.435,,0,,0,,0,,169.347,,169.347,,169.347,,1886.386,,114.06,,164.03,,10.479,,688.015,,169.347,,4.649,,34.453,,1481.454,,0,,0,,148.875,,1630.951,,1630.951,,-134.894,,0,
006304,20180331,20180430,0,KLA-TENCOR CORP,Q1Y18,4540.514,,773.174,,169.459,,5598.184,,1370.143,,2889.982,,2461.914,,0,,0,,285.03,,306.881,,306.881,,306.881,,3832.057,,993.527,,1200.435,,565.692,,4228.041,,306.881,,8.298,,365.983,,284.496,,0,,0,,1021.294,,1370.143,,1370.143,,59.102,,0,
006307,20180131,20180430,0,SEARS HOLDINGS CORP,Q4Y17,3812,,1721,,576,,7262,,-3723,,336,,2496,,0,,0,,0,,182,,182,,182,,-1227,,2456,,4915,,3448,,10985,,182,,213,,-357,,1729,,0,,0,,4376,,-3723,,-3723,,-539,,0,
006310,20180331,20180430,0,KINDER MORGAN INC,Q1Y18,2628,,36050,,1221,,79011,,33667,,363,,35543,,0,,39,,316,,483,,485,,524,,71201,,1714,,5429,,2381,,43353,,524,,264,,706,,40333,,0,,0,,3418,,33667,,35135,,164,,0,
006335,20180331,20180430,0,KANSAS CITY SOUTHERN,Q1Y18,565.9,,2359.1,,445,,9128.1,,4608.4,,47,,2230.2,,0,,0.1,,37.1,,144.4,,144.4,,144.5,,7161.6,,0,,823.8,,130,,4196.7,,144.5,,28.5,,221.7,,6203.1,,6.1,,0,,638.6,,4614.5,,4931.4,,76.8,,0,
006435,20180331,20180430,0,KIMBERLY-CLARK CORP,Q1Y18,5372,,2603,,2826,,15303,,317,,626,,6081,,0,,0,,341,,93,,93,,93,,6697,,2249,,6674,,1511,,14687,,93,,22,,201,,7328,,0,,0,,4731,,317,,555,,104,,0,
006502,20180131,20180430,0,KROGER CO,Q4Y17,11117,,5009,,5858,,37197,,6931,,1508,,12029,,0,,0,,443,,846,,854,,854,,18934,,4779,,14197,,2498,,30292,,854,,0,,-104,,21071,,0,,0,,31031,,6931,,6905,,-957,,0,
006532,20180131,20180430,0,XCERRA CORP,Q4Y17,346.762,,56.522,,24.005,,433.375,,347.828,,171.048,,2.276,,0,,0,,0,,7.931,,7.931,,7.931,,351.839,,39.982,,72.333,,9.203,,83.812,,7.931,,-1.154,,9.162,,30.091,,0,,0,,110.276,,347.828,,349.563,,1.388,,0,
006543,20180131,20180228,0,LA-Z-BOY INC,Q4Y17,513.679,,204.946,,66.672,,893.502,,589.879,,153.727,,0.249,,0,,0,,16.343,,12.047,,12.109,,12.109,,603.087,,131.166,,198.069,,92.346,,290.664,,12.109,,-0.65,,32.332,,174.877,,0,,0,,413.638,,589.879,,602.838,,20.047,,0,
006543,20180131,20180331,0,LA-Z-BOY INC,Q4Y17,513.679,,204.946,,66.672,,893.502,,589.879,,153.727,,0.249,,0,,0,,16.343,,12.047,,12.109,,12.109,,603.087,,131.166,,198.069,,92.346,,290.664,,12.109,,-0.65,,32.332,,174.877,,0,,0,,413.638,,589.879,,602.838,,20.047,,0,
006543,20180131,20180430,0,LA-Z-BOY INC,Q4Y17,513.679,,204.946,,66.672,,893.502,,589.879,,153.727,,0.249,,0,,0,,16.343,,12.047,,12.109,,12.109,,603.087,,131.166,,198.069,,92.346,,290.664,,12.109,,-0.65,,32.332,,174.877,,0,,0,,413.638,,589.879,,602.838,,20.047,,0,
006565,20180331,20180430,0,LAM RESEARCH CORP,Q1Y18,10425.797,,2411.202,,630.912,,13663.499,,6803.055,,6484.971,,1781.731,,0,,0,,225.604,,778.8,,778.8,,778.8,,8665.759,,1715.113,,3948.42,,1049.32,,6779.471,,778.8,,12.38,,771.701,,826.5,,80.973,,80.973,,2892.115,,6884.028,,6884.028,,-7.099,,0,
006669,20180228,20180430,0,LENNAR CORP,Q1Y18,,,7364.521,,923.854,,27944.023,,13060.93,,1084.214,,10775.659,,0,,0,,9.617,,134.818,,136.215,,136.215,,23949.743,,270.056,,,,1982.37,,14769.939,,136.215,,78.04,,269.428,,,4,0,,0,,2980.791,,13060.93,,13174.084,,132.611,,0,
006730,20180331,20180430,0,LILLY (ELI) & CO,Q1Y18,16261.5,,19135.9,,1267.4,,44355.6,,14527,,4789.5,,9393.5,,0,,0,,587.3,,1217.4,,1217.4,,1217.4,,23981.3,,7282.4,,11547,,8827.3,,29767.8,,1217.4,,141.2,,1441,,8958.2,,0,,0,,5700,,14527,,14587.8,,223.6,,0,
006733,20180131,20180331,0,L BRANDS INC,Q4Y17,3293,,1963,,717,,8149,,-753,,1515,,5707,,0,,0,,686,,664,,664,,664,,4956,,1029,,2031,,924,,8900,,664,,7,,842,,2893,,0,,0,,4823,,-753,,-751,,178,,0,
006733,20180131,20180430,0,L BRANDS INC,Q4Y17,3293,,1963,,717,,8149,,-753,,1515,,5707,,0,,0,,686,,664,,664,,664,,4956,,1029,,2031,,924,,8900,,664,,7,,842,,2893,,0,,0,,4823,,-753,,-751,,178,,0,
006774,20180331,20180430,0,LOCKHEED MARTIN CORP,Q1Y18,17816,,23069,,2715,,46634,,-182,,2393,,13473,,0,,0,,586,,1157,,1157,,1157,,13362,,10509,,13974,,19298,,46745,,1157,,-143,,1360,,5749,,0,,0,,11635,,-182,,-111,,203,,0,
006788,20180331,20180430,0,RANGE RESOURCES CORP,Q1Y18,337.947,,1728.651,,314.819,,11730.168,,5834.592,,0.527,,4081.694,,0,,0,,4.971,,48.67,,49.238,,49.238,,9916.286,,364.027,,678.846,,398.982,,5895.576,,49.238,,0.247,,91.914,,9663.57,,0,,0,,742.375,,5834.592,,5834.592,,42.676,,0,
006829,20180131,20180430,0,LOWE'S COMPANIES INC,Q4Y17,12772,,2798,,6590,,35291,,5873,,690,,15564,,0,,0,,1288,,553,,554,,554,,21437,,4075,,12096,,1730,,29418,,554,,7,,944,,19721,,0,,0,,15494,,5873,,5873,,390,,0,
007065,20180331,20180430,0,MARSH & MCLENNAN COS,Q1Y18,6270,,14396,,1686,,21379,,7940,,1168,,5815,,0,,0,,189,,690,,690,,690,,13836,,1663,,4122,,3421,,13358,,690,,69,,916,,713,,0,,0,,4000,,7940,,8021,,220,,0,
007085,20180331,20180430,0,MASCO CORP,Q1Y18,2993,,1454,,1008,,5630,,-72,,469,,2971,,0,,0,,33,,148,,149,,149,,3154,,646,,1770,,706,,5447,,149,,-3,,200,,1183,,0,,0,,1920,,-72,,183,,39,,0,
007116,20180331,20180430,0,MATTEL INC,Q1Y18,2221.67,,2325.736,,398.36,,5304.09,,982.466,,526.724,,2871.771,,0,,0,,0,,-311.253,,-311.253,,-311.253,,3854.237,,578.909,,987.179,,462.674,,4321.624,,-311.253,,3.797,,-313.905,,756.684,,0,,0,,737.872,,982.466,,982.466,,-2.652,,0,
007138,20180131,20180430,0,MAYS (J.W.) INC,Q4Y17,7.287,,8.329,,0.07,,65.49,,53.027,,5.259,,5.339,,0,,0,,0,,2.454,,2.454,,2.454,,58.366,,2.098,,2.334,,1.224,,12.463,,2.454,,0.061,,0.087,,49.874,,0,,0,,4.792,,53.027,,53.027,,-2.367,,0,
007146,20180228,20180331,0,MCCORMICK & CO INC,Q1Y18,1606,,7933.9,,584.4,,10363,,3060.2,,179.6,,4378.6,,0,,0,,68.2,,422.6,,422.6,,422.6,,7451,,530.8,,1871.5,,378.2,,7290.6,,422.6,,9.6,,151.5,,823.1,,0,,0,,1237.1,,3060.2,,3072.4,,-271.1,,0,
007146,20180228,20180430,0,MCCORMICK & CO INC,Q1Y18,1606,,7933.9,,584.4,,10363,,3060.2,,179.6,,4378.6,,0,,0,,68.2,,422.6,,422.6,,422.6,,7451,,530.8,,1871.5,,378.2,,7290.6,,422.6,,9.6,,151.5,,823.1,,0,,0,,1237.1,,3060.2,,3072.4,,-271.1,,0,
007152,20180331,20180430,0,MCDERMOTT INTL INC,Q1Y18,1416.629,,118.842,,191.561,,3200.648,,1811.909,,418.799,,512.994,,0,,0,,0,,35.189,,35.189,,35.189,,2351.947,,381.844,,638.339,,210.362,,1361.695,,35.189,,-16.27,,54.837,,1665.177,,0,,0,,607.818,,1811.909,,1838.953,,20.715,,0,
007163,20180331,20180430,0,S&P GLOBAL INC,Q1Y18,3284,,4943,,196,,8497,,7,,1756,,3170,,0,,0,,127,,491,,491,,491,,4588,,2439,,3135,,774,,7079,,491,,4,,681,,270,,0,,0,,1567,,7,,68,,147,,0,
007228,20180131,20180331,0,MEDTRONIC PLC,Q4Y17,26607,,64676,,1809,,95800,,50234,,14436,,25918,,0,,0,,1870,,-1389,,-1389,,-1389,,76258,,5297,,10933,,7246,,45460,,-1389,,-42,,1027,,4517,,0,,0,,7369,,50234,,50340,,2419,,0,
007228,20180131,20180430,0,MEDTRONIC PLC,Q4Y17,26607,,64676,,1809,,95800,,50234,,14436,,25918,,0,,0,,1870,,-1389,,-1389,,-1389,,76258,,5297,,10933,,7246,,45460,,-1389,,-42,,1027,,4517,,0,,0,,7369,,50234,,50340,,2419,,0,
